CountryCode,subset,question_code,question_label,answer,percentage,notes
Spain,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,36,
Spain,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,56,
Spain,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,6,
Spain,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Spain,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,38,
Spain,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,41,
Spain,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,18,
Spain,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,3,
Spain,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,32,
Spain,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,40,
Spain,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,26,
Spain,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Spain,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,31,
Spain,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,24,
Spain,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,44,
Spain,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Spain,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,32,
Spain,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,37,
Spain,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,29,
Spain,Transgender,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,[0]
Finland,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,23,
Finland,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,57,
Finland,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,17,
Finland,Lesbian,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,2,
Finland,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,48,
Finland,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,23,
Finland,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,26,
Finland,Gay,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,4,
Finland,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,12,
Finland,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,33,
Finland,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,52,
Finland,Bisexual women,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,3,
Finland,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,32,
Finland,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,12,
Finland,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,53,
Finland,Bisexual men,e1,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,4,[0]
